"","ds_id","auth_id","timestamp"
"216","doi:10.7281/T1/QS3QFT","0000-0003-2502-3770",2024-03-26 20:35:29
"217","doi:10.7281/T1/F5PD42","0000-0003-2502-3770",2024-04-02 12:46:37
"218","doi:10.7281/T1/WYN7FI","0000-0003-2502-3770",2024-07-30 14:30:55
"219","doi:10.7281/T1/THLC8N","0000-0003-2502-3770",2024-03-13 19:56:44
"220","doi:10.7281/T1/IRMGH8","99",2024-02-28 12:19:18
"221","doi:10.7281/T1/XFNORD","100",2023-12-21 14:34:36
"222","doi:10.7281/T1/BNSVVD","0000-0002-8985-0372",2021-12-30 19:26:56
"223","doi:10.7281/T1/PIVKJ7","0000-0002-9348-0933",2023-11-16 15:58:05
"224","doi:10.7281/T1/XGVRX0","0000-0001-8739-2542",2022-06-23 16:11:51
"225","doi:10.7281/T1/WBR06U","101",2017-06-12 13:30:58
"226","doi:10.7281/T1/EAFMCT","102",2018-12-07 18:10:05
"227","doi:10.7281/T1/ONZHUS","103",2019-07-08 18:17:31
"228","doi:10.7281/T1/RTSGO0","0000-0001-7635-2705",2022-11-15 14:01:46
"229","doi:10.7281/T1/2DKJB2","0000-0001-7635-2705",2023-06-15 19:41:02
"230","doi:10.7281/T1/NLHSKE","0000-0002-1448-7919",2023-06-02 12:54:10
"231","doi:10.7281/T1/CZZDLJ","0000-0002-1139-9235",2017-06-22 13:24:47
"232","doi:10.7281/T1/MYJBMQ","104",2020-08-24 19:22:07
"233","doi:10.7281/T1/YXVVML","0000-0002-1139-9235",2017-08-16 16:55:42
"234","doi:10.7281/T19G5JRC","105",2015-10-22
"235","doi:10.7281/T1/C4RVLS","0000-0002-0509-5200",2024-01-09 16:15:38
"236","doi:10.7281/T1/7WXPIN","106",2019-10-08 13:57:17
"237","doi:10.7281/T1D798BQ","107",2016-06-01
"238","doi:10.7281/T1/XTSKOW","108",2017-09-19 13:08:30
"239","doi:10.7281/T1/WYN7FI","0000-0003-3111-8629",2024-07-30 14:30:55
"240","doi:10.7281/T1/IRMGH8","0000-0002-4494-8608",2024-02-28 12:19:18
"241","doi:10.7281/T1CC0XMT","109",2015-08-25
"242","doi:10.7281/T17P8W98","110",2015-08-25
"243","doi:10.7281/T1H41PBJ","111",2015-08-25
"244","doi:10.7281/T1/4RZTRN","112",2021-11-05 18:59:17
"245","doi:10.7281/T1/2QCZXM","113",2024-02-06 19:41:07
"246","doi:10.7281/T1/SWU4P8","114",2023-08-08 17:47:21
"247","doi:10.7281/T1/AGLFQ2","0000-0002-4584-4819",2024-03-18 18:32:52
"248","doi:10.7281/T1/U5GUV3","0000-0002-0439-9982",2023-08-16 16:21:51
"249","doi:10.7281/T1/EAFMCT","115",2018-12-07 18:10:05
"250","doi:10.7281/T1/ONZHUS","116",2019-07-08 18:17:31
"251","doi:10.7281/T1/UXPNT5","117",2022-04-08 17:18:45
"252","doi:10.7281/T1/T81CEP","118",2020-06-24 15:26:45
"253","doi:10.7281/T1/7WS8AD","0000-0003-0481-7475",2020-12-03 18:22:39
"254","doi:10.7281/T1/W2AG3A","0000-0003-0481-7475",2020-11-12 20:15:42
"255","doi:10.7281/T1/LW2H2F","0000-0003-0481-7475",2019-11-26 16:27:19
"256","doi:10.7281/T1/VSW3JU","119",2021-05-26 20:32:48
"257","doi:10.7281/T1/OTISGL","0000-0003-4393-0403",2023-09-25 20:25:14
"258","doi:10.7281/T1/RTSGO0","0000-0001-6161-5525",2022-11-15 14:01:46
"259","doi:10.7281/T1/0L0OA0","0000-0001-5933-6308",2023-05-08 22:56:03
"260","doi:10.7281/T1/SP6KO3","0000-0001-5973-0524",2017-11-22 19:46:20
"261","doi:10.7281/T1/E70MXR","0000-0002-8685-0027",2021-01-07 17:45:16
"262","doi:10.7281/T1/I3ILXO","120",2020-04-17 15:29:44
"263","doi:10.7281/T1/EQKCFP","121",2023-10-20 13:46:16
"264","doi:10.7281/T1/H1ZPLI","122",2023-07-06 16:00:37
"265","doi:10.7281/T1/FPN6MI","123",2023-08-03 20:18:29
"266","doi:10.7281/T17P8W98","0000-0002-6115-9811",2015-08-25
"267","doi:10.7281/T1/VEORXP","0000-0001-8641-755X",2024-07-10 12:59:20
"268","doi:10.7281/T1/IZMSNX","124",2024-07-29 16:28:32
"269","doi:10.7281/T1057CVH","125",2015-08-25
"270","doi:10.7281/T1154F09","126",2015-08-25
"271","doi:10.7281/T1/SQ6FO9","127",2018-08-24 14:54:41
"272","doi:10.7281/T1/U5GUV3","0000-0002-1731-0879",2023-08-16 16:21:51
"273","doi:10.7281/T1/IRMGH8","0000-0002-8860-3484",2024-02-28 12:19:18
"274","doi:10.7281/T1/NL3HTW","128",2023-05-16 18:53:51
"275","doi:10.7281/T1/7IXSOP","0000-0003-0936-0865",2022-09-23 16:12:59
"276","doi:10.7281/T1/7IXSOP","129",2022-09-23 16:12:59
"277","doi:10.7281/T1JW8BSS","130",2020-10-30 18:26:13
"278","doi:10.7281/T1/FPN6MI","0000-0003-1113-4103",2023-08-03 20:18:29
"279","doi:10.7281/T1/HRK27V","0000-0002-1432-5952",2022-03-07 20:18:52
"280","doi:10.7281/T1/FPN6MI","131",2023-08-03 20:18:29
"281","doi:10.7281/T1/6Y08LS","0000-0002-8383-4259",2018-08-22 19:06:03
